,Name,League,reference,ISO,Spd,wRC+,OBP,wOBA,Score,ISO_Percentile,Spd_Percentile,wRC+_Percentile,OBP_Percentile,wOBA_Percentile
19,Vladimir Guerrero Jr.,MLB,,0.22077922,2.159302274889306,165.02279452706466,0.395982783,0.3978902227687139,0.9332439572665373,89.64143426294821,11.952191235059761,98.00796812749005,99.20318725099602,98.00796812749005
20,Colson Montgomery,MiLB,Charlie Blackmon,0.167010309,4.803150502828277,87.92412851017333,0.328671328,0.3241630448142618,,56.97211155378486,61.75298804780876,23.50597609561753,69.7211155378486,58.964143426294825
21,Charlie Blackmon,MLB,,0.155902005,5.14394633214148,93.88503887160977,0.328657314,0.3228846777612774,0.9042276079931801,48.20717131474104,68.12749003984064,32.27091633466135,69.7211155378486,58.964143426294825
22,James Triantos,MiLB,Jake McCarthy,0.126410835,8.310828628704531,123.22926356968829,0.346391752,0.3549518086246608,,23.904382470119522,98.80478087649402,82.86852589641434,85.65737051792829,87.25099601593625
23,Jake McCarthy,MLB,,0.115384615,7.544205364211624,109.63283087810512,0.348979591,0.3292398854998723,0.9207973365129739,15.53784860557769,96.41434262948208,62.54980079681275,86.45418326693228,67.72908366533864
24,Harry Ford,MiLB,Jonathan India,0.118604651,6.424250254272095,118.61515717919784,0.377394636,0.3546400643399849,,17.131474103585656,89.2430278884462,76.89243027888446,94.82071713147411,87.25099601593625
25,Jonathan India,MLB,,0.144465291,4.992068191498279,107.57364794843971,0.357480314,0.3333710933294821,0.9155764551057977,35.45816733067729,65.33864541832669,57.76892430278885,90.43824701195219,73.30677290836654
26,Brady House,MiLB,Bryan De La Cruz,0.16064257,4.058713726969289,91.24316818691253,0.29704797,0.3155054843733671,,50.59760956175299,46.613545816733065,28.286852589641438,22.709163346613543,49.00398406374502
27,Bryan De La Cruz,MLB,,0.150684931,2.8215931404902204,77.31262602451719,0.2705314,0.2826019140020493,0.9571750950469545,41.832669322709165,21.91235059760956,6.772908366533864,3.9840637450199203,12.350597609561753
28,Carson Williams,MiLB,Jarren Duran,0.212471131,8.213902570486926,142.0645829378028,0.352475247,0.3779513979005435,,84.86055776892431,98.80478087649402,94.82071713147411,87.25099601593625,94.82071713147411
29,Jarren Duran,MLB,,0.207153502,7.982662395677068,129.02292667113866,0.341961852,0.3568673902286514,0.9782710754679507,82.47011952191235,97.21115537848605,85.65737051792829,82.47011952191235,88.84462151394422
30,Jaison Chourio,MiLB,Steven Kwan,0.128742515,6.757862931175604,143.89124389832438,0.414351851,0.3952714905937973,,25.099601593625497,91.63346613545816,94.82071713147411,99.20318725099602,97.60956175298804
31,Steven Kwan,MLB,,0.133333334,5.102867599411571,130.84328170592786,0.368029739,0.3494486094185854,0.9558908676626643,27.091633466135455,67.72908366533864,88.04780876494024,93.62549800796812,86.85258964143426
32,Lazaro Montes,MiLB,Bryan Reynolds,0.196428572,3.907356326546875,138.0408508946692,0.396678966,0.4045860227820598,,74.10358565737052,43.82470119521912,92.43027888446214,99.20318725099602,98.40637450199203
33,Bryan Reynolds,MLB,,0.172025723,4.17227248054702,117.77041804655428,0.343930635,0.3427446141990418,0.9820255377482399,60.95617529880478,48.20717131474104,74.9003984063745,84.06374501992032,83.26693227091634
34,Jefferson Rojas,MiLB,Otto Lopez,0.09139785,6.027229866630629,87.7327491648225,0.310262529,0.3052543350506512,,3.9840637450199203,80.0796812749004,23.107569721115535,40.63745019920319,37.05179282868526
